"","polymer_number","polymer_name","area","elongation","length","width","volume","weight","FTIR_analysed_filter","shape","sampletype","location","sieve","sample_volume"
"141",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"142",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"143",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"144",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"145",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"146",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"147",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"148",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"149",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"150",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"151",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"152",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"153",3,"polyethylene, chlorinated",60.5,2,11,5.5,121.959244806234,1.41472723975231e-10,"BS100III","particle","sample","BS",100,1870
"154",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"155",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"156",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"157",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"158",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"159",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"160",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"161",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"162",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"163",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"164",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"165",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"166",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"167",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"168",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"169",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"170",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"171",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"172",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"173",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"174",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"175",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"176",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"177",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"178",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"179",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"180",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"181",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"182",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
"183",3,"polyethylene, chlorinated",30.25,1,5.5,5.5,60.9796224031169,7.07363619876156e-11,"BS100III","particle","sample","BS",100,1870
